name,placeId,taking_students,notes
Aligned Minds Counseling and Therapy,ChIJuXymYg8joFMRliP3mWypov8,,
Allegro Counselling Inc.,ChIJyVOfga43K4gROes-aTdYTQU,,
Alli MacKenzie Hypnotherapy & Energy Healing,ChIJuU7q96f5n1MRhlTiFWRC7Gw,,
Alta-Sask Wellness - Lloydminster,ChIJV1OF1YmyCVMRzxr4n7bBaQs,,
Altruism Connection - Integrative Counselling & Services,ChIJeZ5fhUktE1MRi58ww3g_hBw,,
Alycol Psychological Health Services,ChIJNS1M1POOn1MR4ZMRvpOAgRk,,
Alysha Gurney Counselling Services,ChIJs0V5toItE1MRNodFkZqCP04,,
Amanda Baird,ChIJ__-_BPgjoFMRbZ-6UT5TF_w,,
Amanda Blaire Wellness,ChIJddYEPnU_cVMRT_NRAS94OV8,,
Amber Chenard Psychological Services,ChIJ6XE_-uyRkFMRPcUS00T99N0,,
Amity’s Body & Mind Therapeutic Massage,ChIJHY99E7mzCVMRPlWB5fsP_1I,,
Ana Schlosser Counselling - Medicine Hat,ChIJOUXcBrYtE1MR6cUVTp2QehY,,
Angel's Healing Therapeutic Massage,ChIJjZ-ASadO0SIR7gf3rv206xA,,
Angela Irvine Consulting (Registered Provisional Psychologist),ChIJRxnRx1AsE1MRo9tME1kMOns,,
Angela Jans Counselling Services,ChIJ-5tNAtKHblMRDUdwzk6G9-o,,
Angelis justus,ChIJrSWUdEIPsFMReJr-PLe_Vi8,,
Anger Management Incorporated (Alberta ARMI),ChIJX-cLlFtfcVMRpiCP6igdbH8,,
Angie Ratcliff Counselling,ChIJB10SWuJvcVMRX1bz96MR2w8,,
Annie’s Therapeutic Massage,ChIJIzBhVw37n1MR3jTZBXIELdA,,
Anxiety Clinic of Central Alberta,ChIJB_sNvslVdFMRadEW9JNemaQ,,
APPLE WELLNESS CENTER,ChIJcXxtW25fcVMRIXR_qhCD-hY,,
Approach Psychology,ChIJ0RXidPMjoFMRwfVyaI3S79c,,
Apsi the Ferrance Group,ChIJY50h_egIsFMR8qP24LCY2LQ,,
Arcadia Counselling,ChIJ64cUsx1vcVMRc7GFaeIGF8A,,
ARCH Psychological Services Inc.,ChIJcT10_7SWkFMRTq5iVnnR-Nc,,
Arokaya Healing Wellness Centre (Arokaya Thai Wellness),ChIJpapH71APsFMRWKFVkoedIwo,,
Art of Caring,ChIJuaCUry27ClMRxh3JjoSYpiI,,
ART OF MIND PSYCHOLOGICAL SERVICES,ChIJNV3Ww5s9oFMRgsKEOzSJA4w,,
Ascend Pediatrics,ChIJAQAEVZxAcVMR4YT65qLTJKU,,
ASH Counseling,ChIJzbzbISFHoFMRY0O4Shqhko8,,
Ash Wellness Co.,ChIJP6wtcZq7ClMRQEPgQOwe8wA,,
Ashay Therapy,ChIJSX3Ut0lxcVMRsRZ3pZcUF6M,,
Ashes & Rising Therapy and Wellness,ChIJ4_SmSkdfcVMRHiSDapEiAWI,,
Aspen Grove Counselling,ChIJ7VpX4SxBcVMR1xsg2pk_BJI,,
Aspen Psychology,ChIJm08QsMVBcVMRYeQN9AzS-eg,,
Aspen Psychology Group,ChIJXYNyfTdxcVMRyS3KDAZcNSA,,
Aspen Therapy & Wellness Counselling,ChIJC-j_folvcVMRVoIudbcQXMM,,
Aspen Wellness Centre,ChIJo-UqXtojoFMRvX0o0W63Gcc,,
Aspire Care Clinic,ChIJy-VKOUlfcVMR2mCuqd-EGcw,,
Aspire Counselling and Psychology,ChIJHQCQzvOOn1MRHzGJn05S8Hc,,
Associated Counselling,ChIJ1xjakCdwcVMR-vQ-ONJE3Lg,,
Associates Counselling Services Inc.,ChIJHSMNYbeHblMR1kDrFFSPcM4,,
Assured Psychology,ChIJzYky7CJvcVMROJOUzs8KA60,,
Assured Psychology Counselling Services,ChIJZZoDy9ZBcVMR983NwQ3OpAo,,
At Dawn Wellness Centre,ChIJKRfnbsRfcVMRpwBa_21GuMo,,
Athlete's Choice Massage Sherwood Park,ChIJ___vKYU9oFMRMggERtExXFg,,
Attached Counselling Co.,ChIJbYqroc1xcVMRr_wlGiDv484,,
Attainment Counselling,ChIJqxYLkWwloFMRfjT_TdIkQyk,,
Attuned Psychological Services,ChIJ8bC6Ch7qoW0Ra890Jw_DABg,,
Aura Wellness,ChIJO1IkTm8tE1MRFKNVm7KQNwk,,
Austin Counselling Services,ChIJA-jt1rSh8qQRXsxIDHNxH5o,,
"Authentic You: Counselling, Assessment & Addictions Services Inc.",ChIJk_gfi5gdoFMRPR2HoBFPcy0,,
Authentically You Holistic Counselling Corp,ChIJQYHSVABVdFMRMtKEggGIz6M,,
Aveiro Sleep,ChIJh9pS4JCyCVMRgy_LJYmq7MQ,,
Aveya Therapeutic Massage,ChIJU9WAzdq7ClMRg98YcVb4fL4,,
Awaken Counselling & Holistic Services,ChIJi300QVeXkFMRKFXJdl5H6gg,,
Awaken Medium,ChIJkSjIEaStCVMRy-ObpxsvnIA,,
AXB Psychological Services,ChIJs36NlWtfcVMRl2_HbF1R_Es,,
Axial Physio & Health Inc.,ChIJ4VdM0R2tCVMRd0RXcX-Tv7o,,
Azure Massage and Wellness Camrose,ChIJB5xoW8O7ClMRswf_RwXF0zk,,
B Well Physiotherapy,ChIJqc9zq51AcVMRolR2fLlQ1Xs,,
Back On Track Health Centre,ChIJd1t_VfGOn1MRVHffqDqvXQc,,
Balance Physiotherapy & Massage,ChIJG9dc37iXcVMRBBX9-RDEYOg,,
Balance Psychological Services - Stony Plain,ChIJtzCG33CPn1MRbgKN-QgtYLo,,
Balance Wellness,ChIJJTxnX4AXoFMRUfIz43a8lis,,
BalanceWorks Psychological - Counselling Services,ChIJK9-UN8iWkFMRhVS5itf5oD4,,
"Barbara Douglass, DCP, MC, B.Ed, Counselling Psychology",ChIJGSQ9DGeZcVMRrAS4-YvALos,,
Baynes Family Wellness,ChIJD5yBJ3X5n1MReKYNXAwCndg,,
BE by Design,ChIJz5uOYIQep4MRAnK3mbCKHN8,,
Be Mind Body Therapy,ChIJVVUFDraHblMRxxfXF7eY8bo,,
Be Mind Body Therapy,ChIJAQAkO0aGblMRb9SmaJDuFpI,,
Be Well Psychology,ChIJ6Xq4JelvcVMRxLD4p574Oh4,,
Be Wellness Therapy,ChIJuao0ElpVdFMRDfmS4xw140Y,,
Bea Fisher,ChIJd-UZaZmyCVMR0s1hbm5ZU_8,,
Bear Creek Counselling & Psychology,ChIJPerKfKqWkFMRvYDuKlotBLA,,
Beck Psychological Services,ChIJ0ctQnENBcVMRahPS49Su-gU,,
Begin Within Psychology,ChIJ6-COTQsmoFMR-trBxKJEWt0,,
Beginnings Counselling Services,ChIJy9cDXjKHblMRPx8evs0FMN4,,
Being Human Club,ChIJ2a7CXThxcVMRCOS-cmNU0K8,,
Being Human Services Inc.,ChIJz9Qpt1MsE1MRHP40CBc6MDQ,,
Being One Counselling in Edmonton & Barrhead,ChIJQwVaObQjoFMRAzNF4Lm-j64,,
Ben Hofs Counselling,ChIJzdAi2FNBcVMRZXKb6y38p5Y,,
Berg Psychology,ChIJ4b0mvLsXoFMR1q1mdm9fyG0,,
Bernes Kerry Dr,ChIJmXmIt8uHblMRGM5GhKEoypw,,
Best Bodies Counselling & Hypnotherapy Inc.,ChIJEw9qhdcloFMRkFSUHqsEgdI,,
Best Choice Counselling,ChIJUVkb8iTqDCoRgOZh5vzSOc4,,
Best Relationships Counselling Centre,ChIJxfN1a4c9oFMR2BacTsLgw2w,,
Bethany Mills Psychological Services,ChIJM31lFMyHblMR1LbEi5aU4CI,,
Beyond Balance Psychological Services,ChIJw073dcOzCVMREit-RyA1hBQ,,
Beyond Therapy Counselling & Holistic Services,ChIJYbvWNUyXkFMRmdISbb50WPI,,
"Big Rock Chiropractic, Physiotherapy & Massage",ChIJ99Um4HmXcVMR16X_Wh79X0I,,
Big Rock Psychology,ChIJ3WoBmsuZcVMRL0RfWX0L3y0,,
Biodynamic Wellness Clinic,ChIJJwf3SwCtCVMRQWq5YUm6Wqc,,
Bipolar narcissist therapy,ChIJk-drCgE_oFMRz1FfR7DpU44,,
Bipolar Wellness,ChIJaSUP5uAjoFMRWO4t36nVFU8,,
Birchwood Circle of Care,ChIJfXB7ltkJsFMRugDm8dzD8uk,,
Bishay Psychology,ChIJ67SfoVkXoFMRxgkCKf1RmSQ,,
BJM Counselling,ChIJX62v_2dfcVMR-Bf3e7JucCc,,
Black Counselling and Consulting Services LTD.,ChIJhWCy_BpVdFMR98259opm9Jo,,
Black Rock Counselling,ChIJW2ta3eKHblMRDM-W8Dk9PII,,
Black Rock Therapies,ChIJcbbRqplWdFMRku2i4zI_UcA,,
Blackbird Crossing Counselling & End-of-Life Companioning,ChIJaZAP9KqHblMRjDYEu1VUFns,,
"Blake Psychological - Couples Counselling, Sex Therapy, ADHD, Teen Therapy, Psycho-Educational and ASD Assessment in Edmonton",ChIJad2TzoYZoFMRgp3fTPeGXow,,
Blessingways Family Wellness,ChIJE4DI1HpfcVMRSFUXosHalns,,
Bliss Psychology,ChIJnzENZxdxcVMRVcj4nSJMz9A,,
Bliss Studios,ChIJx2ADrHiZcVMRbv3xb-H-DNM,,
Blissoul Counselling,ChIJv0-YTwYgoFMRkLB0WC2rUW8,,
Bloom Narratives Therapy & Wellness,ChIJFRRVdnFfcVMR4tOi9VFSeAE,,
Bloom Psychological Services,ChIJ08ij70AnoFMRUS3zSeJeKzg,,
Bloom Therapy Wellness Collective,ChIJ80C_dvKOn1MRU_ZNJIFg4YQ,,
Blossom Counselling,ChIJj3YChwIjoFMRoVOGu-9y3q8,,
Blue Leaf Counselling,ChIJ_S89E4GHblMRXBbjKNaHwPM,,
Bluebird Counselling Services,ChIJ6aDMM9I_cVMR9vdx1MIMK9E,,
Bluestone Therapy,ChIJb2IG-LRBcVMRQFTj1N2fmZg,,
Bobbie Cochrane Counselling,ChIJX11yT7BfcVMR4rg_LxlYR4E,,
Bonafide Wellness & Consulting,ChIJl8ZxTHqzCVMR6YcSHxTxyaA,,
Bone and Joint Physiotherapy Inc,ChIJ2dpuCVhVdFMRM7RVzzg8Yt0,,
Bonnie Rude-Weisman,ChIJGVH868ctE1MRHvkfGLYS6z0,,
Boreal Therapy Collective,ChIJX-DGfWkPsFMRHc80gfYwq8o,,
Botten Psychological Services,ChIJKapBF0qRkFMRqyLcffj5RWo,,
BRAD KAUFFMAN Applied Psychology,ChIJlTftzPkXoFMRiXTaAMU9730,,
Brad Moser,ChIJVVUlYLeHblMRbiVuWv2Rqaw,,
Brady & Associates,ChIJwbiEC7aHblMReNF0_OlU6FM,,
"Brandi Rosgen Registered Clinical Counsellor, Meditation & Hypnotherapy Professional",ChIJH9NEAa9fcVMRVH2vLjcbj5k,,
Brandon Boorsma Counselling,ChIJVVXFPPmGblMRHwPIQqOxH4A,,
Brave Roots Psychology,ChIJoaysK18noFMRyFdwQ2IHHP4,,
Breathe Counselling,ChIJc_1r9NkZoFMRiaJL3jjEIb0,,
Breathe Counselling,ChIJMb2uQ54ZoFMR9D1Aj9crVn8,,
Breathe Counselling Calgary,ChIJUwL8cuJvcVMR14PfostuY5o,,
Brentwood Chiropractic Clinic,ChIJ5zflrpMXoFMRWzWHdbdFREQ,,
Bridges Family Programs,ChIJUcBzXFcsE1MR3H3b6leO3Nw,,
Bridges Psychology Services,ChIJjaHRT6H5n1MRGkIunTZrdVU,,
Bridging Connections,ChIJD3jf81ksE1MR0ajgAHAc8Hg,,
Bright Future Counselling and Psychological Services,ChIJhQwY1W5fcVMRC-Bh_1D49lg,,
Bright Horizons Counselling,ChIJp37Y3WWRkFMRZ7GY3s3CzRU,,
Bright-Path Therapeutic Centre,ChIJjaKP3tCPn1MRQz0vqbCfmx8,,
BSB Counselling,ChIJdbq5TiyA3k4REzwneDjdnYU,,
BT Psychology Services,ChIJAQDAKFIPsFMRGiy-SUkJa7o,,
Buchanan-Sedun Yvonne Dr,ChIJ4bjjOi9UdFMRNHrP1E9tz7A,,
Building Bridges Counselling Services,ChIJUZRlkZRxcVMRbm_o-ZhZu-0,,
Bumbleberry Counselling Services,ChIJgxEu1qtfcVMRrAm7kDTnOM0,,
C L Body Therapy,ChIJVfygoG-yCVMRBFnIBLFERug,,
C2 Laser & Aesthetics,ChIJX8j1uxu7ClMRmH1YIhoYex0,,
Calgary and Foothills Therapy Services,ChIJ9bdfGXyZcVMRvE7cPgtOOMg,,
Calgary Counseling Therapists,ChIJ5b3Gnt5xcVMRsKzrBq3lzDU,,
Calgary Counselling & Psychology Centre Inc,ChIJHZWRn9W8_aUROCPIxEeVIRg,,
Calgary Counselling Centre,ChIJafwEYuZvcVMRZC48tFNCn_E,,
Calgary Counselling Clinic,ChIJF9AssMRlcVMRS1jQKZS1Ju8,,
Calgary Couples Counselling Centre Inc.,ChIJx62Ze5pxcVMR5OVXyEtUnnc,,
Calgary Family Counselling,ChIJ5ecAYPVBcVMROcqrfJacqQE,,
Calgary Family Counselling,ChIJv4YyTHBBcVMRTFGRa7QpMZ4,,
Calgary Family Therapy,ChIJr2HSiRlwcVMRsE-6VLFDtGM,,
Calgary Institute of Counselling,ChIJ9-Xsqkt3cVMR1sdT78hh0Lg,,
Calgary Institute of Counselling (North),ChIJ3c_hIP9pcVMR8gjL3yy7Pu4,,
Calgary Mental Health & Wellness Centre,ChIJOR0iPeZxcVMRR3KuR3pT2jQ,,
Calgary Mind & Wellness Clinic,ChIJF9iDYWxvcVMRg_HxEEQLl8A,,
Calgary Psychological Services,ChIJcTB4eUx3cVMRpkC0UKgty74,,
Calgary Psychology and EMDR,ChIJVcDoQ5NxcVMRFfkY2h8zlEA,,
Calgary Reconnect Counselling Group,ChIJVVXFOpdvcVMR2bBbX6GmQeE,,
Calgary Therapy MD,ChIJGR7I--FocVMRabSEUZDj5QY,,
Calgary Therapy Services,ChIJ_Qcnk15xcVMRB3Ntz_IOFJ0,,
Calm & Cozy Corner Heal. Rest. Recover,ChIJfb_ZGwoloFMRBhWnKkEq7qg,,
Calm at the Centre Therapy,ChIJCzuFeeRvcVMRxcjngu0U2t0,,
Calm Collective,ChIJ7SuT8vkjh2YRP10TELj7dpo,,
Calming Energy Counselling,ChIJlazYl0WRkFMR1Z7YglD7mww,,
Camino Counselling,ChIJP2rx-f6ETAMRn1mMDMUcNYQ,,
Campbell Barnes Counselling & Consulting (In-person & Virtual Counselling Services),ChIJyRrQvZCyCVMRrrBa6W8bfFA,,
Camrose & District FCSS,ChIJ61LU4tK7ClMRUVI3iWiBQ6w,,
Camrose Addiction and Mental Health Clinic,ChIJW27eOcO7ClMRPtHn7Tzo7e0,,
Camrose Family Resource Centre,ChIJjQnrVtG7ClMRL_AhAGDrSJE,,
Camrose Wellness Collective Ltd.,ChIJGVF98MS7ClMRkKYUupms5k0,,
Can't We Just Get Along Counselling,ChIJw_4NhRdwcVMRR_izHp46i9M,,
Canadian Mental Health Assn,ChIJHclS9C9UdFMR1WGowo_qVsw,,
Canadian Mental Health Association,ChIJOzNuq7UIsFMR3Au21LNFd_4,,
Canadian Mental Health Association,ChIJHVkcrsO7ClMRMiq84F8gfts,,
Canadian Mental Health Association Main Office,ChIJLRbxzUqRkFMR1X-XQq7L3ng,,
"Canadian Mental Health Association, Alberta South Region",ChIJEwR3DNKHblMRB4CbWjpdV5Y,,
Canadian Psychological and Counselling (CPC) Clinics,ChIJ00UVf0NxcVMRROCCldU7RbI,,
Canopy Cove Counselling (Formerly Williamson & Associates),ChIJ2wXT41cQdFMRrL1sWo5G6fc,,
CapitalCare CHOICE Mental Health,ChIJvU7GhmIkoFMRWH1szDoCB6k,,
Capstone Counselling,ChIJL1BQVA8XoFMRhHskPyOzHDs,,
Captivating Boutique Aesthetics and Wellness Center,ChIJNcMuWjWRkFMRRbKC2CqMSck,,
Cara McGinnis Counselling,ChIJMY7qEqJVdFMR_l9qragK52Y,,
Care Counselling,ChIJjeo5-oiyCVMRBNWCDw5z9f4,,
CARE Psychology,ChIJO0pNKopfcVMRuyN-iXxV3nQ,,
Career Catalysts,ChIJPdMT8mJWdFMRtVrtza614so,,
Caring Counselling,ChIJK4HVftptcVMRjC45pkmHYdg,,
Caroline Walters,ChIJoTVVAcD3n1MRhN80Qqivgn8,,
"Carolyn Claire, Registered Psychologist",ChIJ9bTaxiFwcVMRCgYKJcr54Bk,,
Carolyn Donnelly,ChIJDXh58PoloFMRvBt1wZb9W5M,,
Carya,ChIJT1KF3uZvcVMRmj-oBlpOLyY,,
CASA House,ChIJq5zYc-U9oFMRl2NW6tVqCaE,,
Cascade Psychology and Wellness - Airdrie,ChIJ-4TPLEdfcVMRTNVMLT-fHkI,,
Castle Psychology,ChIJsbwKP1k9oFMRHdG8mA7EsnM,,
Catalyst Counselling Services Inc.,ChIJVVWlLQFycVMRPRmksneW2HM,,
Catholic Family Services Society of Grande Prairie,ChIJuWYoT0mRkFMR5wIFZjl1Kc0,,
Catholic Social Services,ChIJualwxi9UdFMRQFLfJNK8O7k,,
Catholic Social Services,ChIJDYat4ZCyCVMRhIdcCB-yBmE,,
CBI Health - Fort McMurray,ChIJY50h_egIsFMRos8ihfatgMo,,
CBI Health - Lloydminster,ChIJJ5QVqoSyCVMRgzkdCGxEwJs,,
CBI Health - Medicine Hat,ChIJFd_rtlMsE1MR9eXGICtkfSk,,
CBT Therapy Center,ChIJb4rzI96ZcVMRkWx0R5QC0l4,,
CBT Therapy Center,ChIJ77mrRez5n1MR8cbCoWYjun0,,
Celest Gilmour COUNSELLING,ChIJAQAkO0aGblMRuzScVMk01wg,,
Centered In Health Physiotherapy,ChIJGXw2zDCZcVMR9L2IkH5KJwg,,
Central Health Chiropractic & Wellness Clinic,ChIJe4G2s2hfcVMRLRPdjRNDASI,,
"Central Physiotherapy, Chiropractor & Massage",ChIJ04k5JW-7ClMRuwTQJMVaPak,,
Central Therapy,ChIJ3TaCiJRVdFMRwbNo1BzIBiQ,,
Centre for Restorative Mental Health,ChIJ20G1CNG7ClMRfsY0uQyBTEI,,
Centre for Restorative Mental Health,ChIJq6p6LMW7ClMR5kp9Zd3Kt4M,,
Centre Hope,ChIJKekkNQv5n1MRT1465ldw0zo,,
Chance Psychology,ChIJUWDK8IMloFMR4E6Fkr8U7JM,,
